Date,goldman,ge,ibm
15/04/15,201.1,27.46,164.13
14/04/15,197.72,27.73,162.3
13/04/15,195.58,27.63,162.38
10/04/15,195.64,28.51,162.86
09/04/15,194.89,25.73,162.34
08/04/15,192.56,25.01,161.85
07/04/15,192.39,25.02,162.07
06/04/15,192.05,25.18,162.04
02/04/15,191.55,24.94,160.45
01/04/15,192.23,24.84,159.18
31/03/15,187.97,24.81,160.5
30/03/15,191.02,25.12,162.67
27/03/15,188.06,24.86,160.4
26/03/15,187.24,24.8,160.59
25/03/15,187.35,24.91,159.2
24/03/15,191.28,25.27,163
23/03/15,191.96,25.47,164.63
20/03/15,193.13,25.4,162.88
19/03/15,189.97,25.33,159.81
18/03/15,192.32,25.64,159.81
17/03/15,190.57,25.31,156.96
16/03/15,191.9,25.45,157.08
13/03/15,189.34,25.04,154.28
12/03/15,189.95,25.4,157.98
11/03/15,184.18,25.19,156.8
10/03/15,182.71,25.17,157.81
09/03/15,187.93,25.64,160.77
06/03/15,186.91,25.42,158.5
05/03/15,190.08,25.82,161.18
04/03/15,189.67,25.66,159.42
03/03/15,191.27,25.86,161.03
02/03/15,191.79,26.11,160.48
27/02/15,189.79,25.99,161.94
26/02/15,192.2,25.89,160.87
25/02/15,191.72,25.91,162.81
24/02/15,192.22,25.39,164.83
23/02/15,190.31,25.17,162.91
20/02/15,191.51,25.21,163.65
19/02/15,189.11,25.01,163.89
18/02/15,188.67,25.25,162.19
17/02/15,190.02,25.17,160.96
13/02/15,189,25.15,160.4
12/02/15,189.78,24.89,158.52
11/02/15,187.65,24.77,158.2
10/02/15,184.56,24.72,158.56
09/02/15,182.22,24.64,155.75
06/02/15,183.43,24.52,156.72
05/02/15,180.77,24.5,157.91
04/02/15,178.78,24.16,156.96
03/02/15,180.24,24.47,158.47
02/02/15,175.49,24.21,154.66
30/01/15,172.41,23.89,153.31
29/01/15,175.99,24.08,155.48
28/01/15,173.05,23.84,151.55
27/01/15,176.49,24.38,153.67
26/01/15,180.42,24.59,156.36
23/01/15,180.49,24.48,155.87
22/01/15,182.04,24.28,155.39
21/01/15,177.15,24.04,152.09
20/01/15,175.63,23.85,156.95
16/01/15,177.23,23.59,157.14
15/01/15,178.49,23.58,154.57
14/01/15,180.23,23.78,155.8
13/01/15,184.93,23.86,156.81
12/01/15,185.07,23.98,156.44
09/01/15,187.35,24.03,159.11
08/01/15,190.27,24.37,158.42
07/01/15,187.28,24.08,155.05
06/01/15,184.53,24.07,156.07
05/01/15,188.34,24.6,159.51
02/01/15,194.41,25.06,162.06
31/12/14,193.83,25.27,160.44
30/12/14,195.71,25.57,160.05
29/12/14,196.19,25.7,160.51
26/12/14,195.45,25.78,162.34
24/12/14,195.89,25.83,161.82
23/12/14,195.5,25.88,162.24
22/12/14,194.44,25.71,161.44
19/12/14,193.28,25.62,158.51
18/12/14,191.61,25.14,157.68
17/12/14,185.03,24.66,151.93
16/12/14,183.31,24.49,151.41
15/12/14,185.54,24.59,153.06
12/12/14,188.82,24.89,155.38
11/12/14,193.54,25.41,161.07
10/12/14,192,25.27,160.51
09/12/14,196.89,25.58,162.99
08/12/14,196.62,25.69,161.86
05/12/14,195.45,26.01,163.27
04/12/14,191.95,26.09,164.05
03/12/14,190.95,26.38,164.52
02/12/14,190.19,26.05,162.67
01/12/14,188.2,26.02,161.54
28/11/14,188.41,26.49,162.17
26/11/14,188.52,26.87,161.95
25/11/14,188.86,26.86,161.76
24/11/14,190.07,27,162.15
21/11/14,189.59,26.99,160.92
20/11/14,189.75,26.85,160.64
19/11/14,189.19,26.92,161.43
18/11/14,189.64,27.01,161.89
17/11/14,189.93,26.61,164.16
14/11/14,189.98,26.46,164.16
13/11/14,190.24,26.42,162.79
12/11/14,190.18,26.52,161.92
11/11/14,191.88,26.38,163.3
10/11/14,191.8,26.47,163.49
07/11/14,190.71,26.41,162.07
06/11/14,191,26.36,161.46
05/11/14,189.84,25.82,161.82
04/11/14,190.27,25.7,162.65
03/11/14,190.83,25.7,164.36
31/10/14,189.99,25.81,164.4
30/10/14,186.97,25.67,164.35
29/10/14,186.08,25.66,163.46
28/10/14,186.32,25.88,163.6
27/10/14,183.91,25.52,161.87
24/10/14,183.35,25.64,162.08
23/10/14,180.06,25.44,162.18
22/10/14,176.83,25.19,161.79
21/10/14,180.18,25.45,163.23
20/10/14,177.84,25.03,169.1
17/10/14,176.91,24.82,182.05
16/10/14,172.58,24.25,179.84
15/10/14,177.24,24.28,181.75
14/10/14,178.7,24.1,183.8
13/10/14,178.77,23.95,183.52
10/10/14,180.38,24.27,185.93
09/10/14,181.27,24.78,186.42
08/10/14,186.64,25.25,189.36
07/10/14,183.8,24.81,185.71
06/10/14,187.48,25.22,189.04
03/10/14,188.07,25.4,188.67
02/10/14,182.88,25.12,186.91
01/10/14,180.7,25.16,187.17
30/09/14,183.57,25.62,189.83
29/09/14,183.83,25.42,189.64
26/09/14,185.12,25.63,190.06
25/09/14,184.09,25.55,189.01
24/09/14,187.81,25.93,192.31
23/09/14,185.09,26.02,191.62
22/09/14,185.29,26.08,193.11
19/09/14,186.2,26.29,194
18/09/14,187.89,26.21,193.75
17/09/14,184.82,26.27,192.8
16/09/14,184.04,26.21,192.96
15/09/14,183.98,25.92,191.81
12/09/14,183.17,25.87,191.28
11/09/14,181,26.02,191.72
10/09/14,179.87,25.95,191.54
09/09/14,177.4,25.9,189.99
08/09/14,180.11,26.08,190.14
05/09/14,179.75,26.1,191.2
04/09/14,180.08,25.96,190.68
03/09/14,179.6,25.95,191.95
02/09/14,179.77,25.85,191.56
29/08/14,179.11,25.98,192.3
28/08/14,177.65,26.01,192
27/08/14,177.81,26.13,192.25
26/08/14,177.9,26.01,192.99
25/08/14,177.87,26.2,191.16
22/08/14,175.47,26.15,190.41
21/08/14,175.15,26.43,191.23
20/08/14,174.03,26.36,190.1
19/08/14,173.96,26.05,190.07
18/08/14,174.55,26.07,189.36
15/08/14,171.9,25.64,187.38
14/08/14,172.73,25.88,187.88
13/08/14,172.37,25.83,187.95
12/08/14,172.33,25.61,187.34
11/08/14,172.46,25.79,187.47
08/08/14,172.26,25.66,186.63
07/08/14,169.1,25.5,184.3
06/08/14,169.74,25.44,185.97
